AS24536;ELNUS-AS-ID PT. Elektrindo Data Nusantara;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 311]
AS24538;DIGISATNET-AS-ID DIGITAL SATELLITE INDONESIA PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 76]
AS2;UDEL-DCN - University of Delaware;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 50]
AS3382;ERX-JUITA-UINET University of Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2582]
AS3583;ERX-IPTEK-ASN BPP Teknologi Networks Manager;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 158]
AS38001;NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd. Singapore Web Hosting Service Provider;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 170]
AS38142;UNAIR-AS-ID Universitas Airlangga;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2003]
AS38143;BLUELINE-AS-ID PT. Rabik Bangun Pertiwi PMA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 536]
AS38144;JALAWAVE-AS-ID PT Jalawave Cakrawala;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 919]
AS38145;PANCA-AS-ID PT. Panca Dewata Utama;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1105]
AS38146;DIGINET-AS-ID DIGITAL WIRELESS INDONESIA PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 237]
AS38148;QIANDRA-AS-ID QIANDRA INFORMATION TECHNOLOGY PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 226]
AS38153;UPH-AS-ID Universitas Pelita Harapan;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 723]
AS38155;AUDIANET-AS-ID Audianet Sentra Data PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 520]
AS38156;ROUTELINK-AS-ID Internet Service Provider;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2555]
AS38159;JJNET-AS-ID PT Jivan Jaya Makmur Telecom;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 123]
AS38162;DELTA-AS-ID PT Delta Nusantara Networks;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 943]
AS38165;ADSNET-AS-ID PT. AMBHARA DUTA SHANTI;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 181]
AS38202;MNET-INDONESIA-AS-ID PT. Mnet Indonesia Transit AS;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 73]
AS38320;MMS-AS-ID PT Maxindo Mitra Solusi Jl Kelapa Puan Raya Blok FU 19 Jakarta;v: 0.01 f:'0.01%' ;v: 0.00 f: '0.00%' 8164]
AS38490;INDOSATM2-NAP-AS-AP INDOSAT Mega Media (Internet Network Provider) Pt;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 829]
AS38500;CROSSNET-AS-ID PT. Cross Network Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1022]
AS38502;MDPNET-AS-ID PT. MULTI DATA PALEMBANG;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1921]
AS38504;ALUCIONET-AS-ID PT ALUCIO NET;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 87]
AS38505;GKD-AS-ID PT. Global Komunika Dewata;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 761]
AS38506;PIKANET-AS-ID PT Pika Media Komunika;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 15318]
AS38507;MITRATECHNET-AS-ID PT. Mitra Internet Tech;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 690]
AS38509;MAXIMA-AS-ID PT. Maxima Data;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 101]
AS38510;DEPTAN-AS-ID KEMENTERIAN PERTANIAN REPUBLIK INDONESIA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 303]
AS38511;TACHYON-AS-ID PT Remala Abadi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 28193]
AS38515;GRAHAMEDIA-NET-AS-ID GRAHAMEDIA INFORMASI PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1986]
AS38516;INFOKOMNAP-AS-ID Infokom Elektrindo PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 64]
AS38517;IDNIC-ID Indonesia Network Information Center;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 56]
AS38521;PISHON-AS-ID Pishon Wireless Teknologi PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 117]
